Generation,GenRewMean,GenRewStd,GenLenMean,EvalGenRewardMean,EvalGenRewardStd,EvalGenLengthMean,EvalGenCount,EpisodesThisGen,EpisodesSoFar,TimestepsThisGen,TimestepsSoFar,UniqueWorkers,ResultsSkippedFrac,ObCount,TimeElapsedThisGen,TimeElapsed,TimePredictMin,TimePredictMax,TimePredictMean,TimePredictCount
0,45.939075,73.23148,271.63157894736844,nan,nan,nan,0,38,38,10322,10322,4,0.0,0,17.95180916786194,17.953049659729004,0.0004401206970214844,0.06924676895141602,0.0016076142555566473,10322
1,46.38225,102.78045,235.38636363636363,nan,nan,nan,0,44,82,10357,20679,4,0.15384615384615385,20.0,9.978108167648315,27.94973850250244,0.0004432201385498047,0.02818155288696289,0.0010427519358227678,10357
2,58.741913,123.102165,261.925,nan,nan,nan,0,40,122,10477,31156,4,0.16666666666666666,20.0,14.575610160827637,42.53618359565735,0.00047135353088378906,0.03197956085205078,0.0020017226574995982,10477
3,24.965042,60.32551,249.73809523809524,nan,nan,nan,0,42,164,10489,41645,4,0.16,0,36.70432448387146,79.26177644729614,0.0006248950958251953,0.08494234085083008,0.005753436162662933,10489
4,45.00274,100.6085,235.3,nan,nan,nan,0,50,214,11765,53410,4,0.13793103448275862,25.0,26.9685320854187,106.26999473571777,0.0006151199340820312,0.11468911170959473,0.0032428834877062797,11765
5,28.395435,100.445915,196.7962962962963,nan,nan,nan,0,54,268,10627,64037,4,0.12903225806451613,20.0,24.32464051246643,130.69647908210754,0.0006322860717773438,0.06964778900146484,0.00372142343942002,10627
6,39.893753,92.51225,231.88636363636363,nan,nan,nan,0,44,312,10203,74240,4,0.15384615384615385,20.0,19.988200664520264,150.71202301979065,0.0004932880401611328,0.09747576713562012,0.0029366962771596576,10203
7,24.401089,83.0824,180.44642857142858,nan,nan,nan,0,56,368,10105,84345,4,0.125,0,8.71340274810791,159.44964241981506,0.00045871734619140625,0.04471421241760254,0.0010547190359003293,10105
8,38.08853,90.55481,248.72727272727272,nan,nan,nan,0,44,412,10944,95289,4,0.15384615384615385,0,11.05265498161316,170.5274839401245,0.0004639625549316406,0.0664529800415039,0.0010724755014941008,10944
9,41.59333,79.27763,245.36363636363637,nan,nan,nan,0,44,456,10796,106085,4,0.15384615384615385,0,9.798573732376099,180.34852480888367,0.0004436969757080078,0.029968976974487305,0.0009479138223097562,10796
10,20.242075,88.33815,147.88571428571427,1.9921623,0.0,20.0,1,70,526,10352,116437,4,0.10256410256410256,40.0,10.744746208190918,191.1224570274353,0.0004696846008300781,0.04138827323913574,0.0010432741424083894,10372
11,15.851958,77.796165,248.25,nan,nan,nan,0,44,570,10923,127360,4,0.15384615384615385,20.0,12.791977643966675,203.94725489616394,0.0004696846008300781,0.041609764099121094,0.002036878676965845,10923
12,25.570646,88.98385,221.65217391304347,nan,nan,nan,0,46,616,10196,137556,4,0.14814814814814814,321.0,19.02708911895752,223.0272376537323,0.0005962848663330078,0.07921099662780762,0.0031212123761975843,10196
13,25.110481,65.16259,208.77777777777777,nan,nan,nan,0,54,670,11274,148830,4,0.12903225806451613,0,20.2121365070343,243.2619845867157,0.0006113052368164062,0.05872488021850586,0.0031428702528518587,11274
14,52.899784,77.40841,320.9117647058824,nan,nan,nan,0,34,704,10911,159741,4,0.19047619047619047,40.0,17.118294715881348,260.414400100708,0.000553131103515625,0.05713653564453125,0.0030820296300385136,10911
15,33.979465,70.14184,322.29411764705884,nan,nan,nan,0,34,738,10958,170699,4,0.19047619047619047,20.0,20.563100814819336,280.9953119754791,0.0006055831909179688,0.06006264686584473,0.0030278293597783066,10958
16,44.052685,99.707016,218.9375,nan,nan,nan,0,48,786,10509,181208,4,0.14285714285714285,0,15.244195461273193,296.2519066333771,0.0006175041198730469,0.10010504722595215,0.003190114457528545,10509
17,53.729,89.46486,289.44444444444446,nan,nan,nan,0,36,822,10420,191628,4,0.18181818181818182,0,20.372397661209106,316.6569547653198,0.0006072521209716797,0.08103179931640625,0.003062247795244096,10420
18,87.036026,140.11737,318.1875,nan,nan,nan,0,32,854,10182,201810,4,0.2,0,16.14274001121521,332.8295192718506,0.0006282329559326172,0.0647280216217041,0.0030149490934906573,10182
19,34.418106,75.55772,243.9090909090909,nan,nan,nan,0,44,898,10732,212542,4,0.15384615384615385,0,18.672840118408203,351.5151906013489,0.0006282329559326172,0.05495786666870117,0.0030227619411782726,10732
20,59.033535,117.70172,286.6666666666667,nan,nan,nan,0,36,934,10320,222862,4,0.18181818181818182,20.0,19.389573574066162,370.92207193374634,0.0005810260772705078,0.060699462890625,0.002964449783628301,10320
21,67.47346,111.90286,418.34615384615387,nan,nan,nan,0,26,960,10877,233739,4,0.23529411764705882,0,17.0171856880188,387.951678276062,0.0006146430969238281,0.06347274780273438,0.003061433854190328,10877
22,59.379303,116.24905,319.05882352941177,nan,nan,nan,0,34,994,10848,244587,4,0.19047619047619047,0,18.323778867721558,406.2996485233307,0.0006253719329833984,0.05370521545410156,0.002831996190512778,10848
23,43.491276,100.37491,316.5,nan,nan,nan,0,34,1028,10761,255348,4,0.19047619047619047,0,14.35946798324585,420.684205532074,0.0005156993865966797,0.050702810287475586,0.002776114030704546,10761
24,47.31037,108.17085,369.4642857142857,nan,nan,nan,0,28,1056,10345,265693,4,0.2222222222222222,0,10.290676355361938,431.0024764537811,0.0004589557647705078,0.04801750183105469,0.0008792911767383426,10345
25,42.207073,121.55249,320.6470588235294,nan,nan,nan,0,34,1090,10902,276595,4,0.19047619047619047,26.0,9.047129154205322,440.06529545783997,0.0004582405090332031,0.023172378540039062,0.0008451584784662236,10902
26,61.92099,102.1006,443.1666666666667,nan,nan,nan,0,24,1114,10636,287231,4,0.25,23.0,8.257938146591187,448.35390281677246,0.00045228004455566406,0.028846025466918945,0.0008388753670774577,10636
27,62.048695,119.794365,266.8157894736842,nan,nan,nan,0,38,1152,10139,297370,4,0.17391304347826086,0,7.793099880218506,456.1621165275574,0.0004532337188720703,0.023450374603271484,0.000776051463830611,10139
28,85.39648,144.17061,461.77272727272725,nan,nan,nan,0,22,1174,10159,307529,4,0.26666666666666666,0,9.072880744934082,465.26196241378784,0.0004572868347167969,0.024623394012451172,0.0008495544657391326,10159
29,86.28527,149.21811,462.45454545454544,nan,nan,nan,0,22,1196,10174,317703,4,0.26666666666666666,1000.0,8.383419513702393,473.66121554374695,0.0004534721374511719,0.024956464767456055,0.0008968418793240535,10174
30,160.00029,152.8365,717.9375,nan,nan,nan,0,16,1212,11487,329190,4,0.3333333333333333,0,10.54029655456543,484.21734642982483,0.00045800209045410156,0.023645877838134766,0.000825004601713114,11487
31,171.34683,192.62956,757.0,nan,nan,nan,0,14,1226,10598,339788,4,0.36363636363636365,0,8.275535106658936,492.50573325157166,0.0004642009735107422,0.025311708450317383,0.0008579810895342088,10598
32,159.97122,177.10928,586.8333333333334,nan,nan,nan,0,18,1244,10563,350351,4,0.3076923076923077,0,11.353180646896362,503.88416719436646,0.0004458427429199219,0.023289203643798828,0.0008365274615487761,10563
33,217.59813,137.22533,941.6666666666666,nan,nan,nan,0,12,1256,11300,361651,4,0.4,0,9.837753057479858,513.7470433712006,0.00045943260192871094,0.023696184158325195,0.0008320180082743146,11300
34,181.53392,138.8329,799.8571428571429,nan,nan,nan,0,14,1270,11198,372849,4,0.36363636363636365,1000.0,8.933158159255981,522.692280292511,0.0004715919494628906,0.02746891975402832,0.0007365946046666048,11198
35,183.30687,203.48346,690.625,nan,nan,nan,0,16,1286,11050,383899,4,0.3333333333333333,0,10.06807827949524,532.7702207565308,0.0004582405090332031,0.030113935470581055,0.0008516759786131155,11050
36,233.36095,180.81224,727.7857142857143,nan,nan,nan,0,14,1300,10189,394088,4,0.36363636363636365,1000.0,9.741769790649414,542.5217969417572,0.0004572868347167969,0.025011301040649414,0.0008469112535514686,10189
37,210.0384,167.45248,762.7857142857143,nan,nan,nan,0,14,1314,10679,404767,4,0.36363636363636365,0,12.408259153366089,554.9549686908722,0.00045037269592285156,0.04266071319580078,0.0009964508826795818,10679
38,250.27196,208.48013,723.6875,nan,nan,nan,0,16,1330,11579,416346,4,0.3333333333333333,0,10.42012095451355,565.4084532260895,0.00045371055603027344,0.023481130599975586,0.0008424549834161382,11579
39,156.94823,234.19858,728.5714285714286,nan,nan,nan,0,14,1344,10200,426546,4,0.36363636363636365,0,10.02342939376831,575.4560506343842,0.0004570484161376953,0.03461456298828125,0.0008538981512481092,10200
40,235.947,181.3791,917.0,nan,nan,nan,0,12,1356,11004,437550,4,0.4,0,13.587218284606934,589.0572075843811,0.0004520416259765625,0.08101725578308105,0.0011921477985139416,11004
41,150.6604,205.38377,722.7142857142857,nan,nan,nan,0,14,1370,10118,447668,4,0.36363636363636365,0,13.782544136047363,602.8586704730988,0.00046324729919433594,0.026526689529418945,0.001378458157479233,10118
42,262.3189,193.71446,776.5714285714286,nan,nan,nan,0,14,1384,10872,458540,4,0.36363636363636365,0,13.663940668106079,616.5455329418182,0.0004673004150390625,0.024250268936157227,0.0013201520493839312,10872
43,183.33292,139.71472,786.7142857142857,nan,nan,nan,0,14,1398,11014,469554,4,0.36363636363636365,0,14.454607486724854,631.0115251541138,0.00047850608825683594,0.051801204681396484,0.001144176800583936,11014
