Generation,GenRewMean,GenRewStd,GenLenMean,EvalGenRewardMean,EvalGenRewardStd,EvalGenLengthMean,EvalGenCount,EpisodesThisGen,EpisodesSoFar,TimestepsThisGen,TimestepsSoFar,UniqueWorkers,ResultsSkippedFrac,ObCount,TimeElapsedThisGen,TimeElapsed,TimePredictMin,TimePredictMax,TimePredictMean,TimePredictCount
44,272.56973,158.73125,842.5833333333334,nan,nan,nan,0,12,1410,10111,479665,4,0.4,0,11.7682204246521,642.7920742034912,0.0004565715789794922,0.02335810661315918,0.0009477779662711674,10111
45,216.43944,111.118805,922.3333333333334,nan,nan,nan,0,12,1422,11068,490733,4,0.4,0,12.04474425315857,654.8604230880737,0.0004696846008300781,0.02880096435546875,0.0009899884731622219,11068
46,286.17703,225.7556,914.0833333333334,nan,nan,nan,0,12,1434,10969,501702,4,0.4,1000.0,14.102998495101929,668.9897317886353,0.0004703998565673828,0.05817270278930664,0.001181051978678916,10969
47,194.9723,162.14088,837.9166666666666,nan,nan,nan,0,12,1446,10055,511757,4,0.4,0,13.712748289108276,682.7413508892059,0.000457763671875,0.02428579330444336,0.0015186311948483173,10055
48,287.57028,221.21594,841.7857142857143,nan,nan,nan,0,14,1460,11785,523542,4,0.36363636363636365,0,12.45462417602539,695.2187662124634,0.0004596710205078125,0.02837395668029785,0.0009230418482421564,11785
49,303.81735,209.14072,918.3333333333334,nan,nan,nan,0,12,1472,11020,534562,4,0.4,0,11.476327657699585,706.7426657676697,0.000453948974609375,0.028276681900024414,0.001017492522777966,11020
50,302.3962,154.257,957.6666666666666,nan,nan,nan,0,12,1484,11492,546054,4,0.4,0,16.17109727859497,722.949560880661,0.0004515647888183594,0.05335569381713867,0.0011008267945376913,11492
51,296.24918,166.92915,1000.0,nan,nan,nan,0,10,1494,10000,556054,4,0.4444444444444444,0,14.839452028274536,737.8287677764893,0.0004584789276123047,0.0708768367767334,0.0016666972637176514,10000
52,168.48865,190.70972,801.0714285714286,nan,nan,nan,0,14,1508,11215,567269,4,0.36363636363636365,0,10.60561466217041,748.457585811615,0.0004630088806152344,0.023476362228393555,0.0008736337023125767,11215
53,209.7039,298.11548,1000.0,nan,nan,nan,0,10,1518,10000,577269,4,0.4444444444444444,0,9.497716903686523,757.9756000041962,0.00044989585876464844,0.024272441864013672,0.0008462505102157593,10000
54,291.22086,161.94464,934.25,nan,nan,nan,0,12,1530,11211,588480,4,0.4,0,13.232088088989258,771.2482726573944,0.00044226646423339844,0.05267953872680664,0.0008486307397831689,11211
55,269.62033,187.58963,897.1666666666666,nan,nan,nan,0,12,1542,10766,599246,4,0.4,1000.0,10.671270608901978,781.9635188579559,0.0004603862762451172,0.02621936798095703,0.000946156247362381,10766
56,278.04178,233.36766,856.25,nan,nan,nan,0,12,1554,10275,609521,4,0.45454545454545453,0,12.248679637908936,794.235592842102,0.00045680999755859375,0.023726463317871094,0.0008619727995563888,10275
57,283.39752,237.35124,1000.0,nan,nan,nan,0,10,1564,10000,619521,4,0.4444444444444444,0,10.283002138137817,804.5528237819672,0.0004649162292480469,0.02543950080871582,0.000854010534286499,10000
58,256.7958,248.97876,919.8333333333334,nan,nan,nan,0,12,1576,11038,630559,4,0.4,0,10.126919031143188,814.6962957382202,0.00046443939208984375,0.02272653579711914,0.000847138190403389,11038
59,278.5251,146.00227,989.6666666666666,nan,nan,nan,0,12,1588,11876,642435,4,0.4,0,12.405582427978516,827.1138017177582,0.0004553794860839844,0.024904727935791016,0.0008653169450795221,11876
60,237.64117,230.13628,934.1666666666666,nan,nan,nan,0,12,1600,11210,653645,4,0.4,0,9.686647415161133,836.8415277004242,0.0004546642303466797,0.023134469985961914,0.0008842616715035622,11210
61,243.52263,132.25525,883.1666666666666,nan,nan,nan,0,12,1612,10598,664243,4,0.4,0,12.24877381324768,849.1325490474701,0.0004630088806152344,0.026481151580810547,0.0008705053763201516,10598
62,277.29803,205.27023,1000.0,nan,nan,nan,0,10,1622,10000,674243,4,0.4444444444444444,0,10.772083044052124,859.9240505695343,0.00045609474182128906,0.022896289825439453,0.0008696077108383179,10000
63,247.65076,143.71486,927.3333333333334,nan,nan,nan,0,12,1634,11128,685371,4,0.4,0,9.612963199615479,869.5493900775909,0.00047326087951660156,0.023747682571411133,0.0008897675960548998,11128
64,105.392845,180.61009,924.1666666666666,nan,nan,nan,0,12,1646,11090,696461,4,0.4,0,12.074227094650269,881.634875535965,0.00044608116149902344,0.023955345153808594,0.0008478922925627478,11090
65,302.42773,197.7098,1000.0,nan,nan,nan,0,10,1656,10000,706461,4,0.4444444444444444,0,11.00497031211853,892.6519272327423,0.0004582405090332031,0.02494978904724121,0.0008636481761932373,10000
66,274.40863,190.91861,1000.0,nan,nan,nan,0,10,1666,10000,716461,4,0.4444444444444444,0,9.713492155075073,902.394602060318,0.0004596710205078125,0.023099184036254883,0.0008530592203140259,10000
67,299.77167,150.4267,1000.0,nan,nan,nan,0,10,1676,10000,726461,4,0.4444444444444444,0,10.607540130615234,913.0172305107117,0.00047326087951660156,0.029670000076293945,0.0007767079591751099,10000
68,235.63103,208.48837,1000.0,nan,nan,nan,0,10,1686,10000,736461,4,0.4444444444444444,0,10.355432033538818,923.3872520923615,0.00046062469482421875,0.026894330978393555,0.0008625924587249756,10000
69,280.54803,206.17029,1000.0,nan,nan,nan,0,10,1696,10000,746461,4,0.4444444444444444,0,11.285509824752808,934.6815612316132,0.0004630088806152344,0.028197288513183594,0.0008635173559188843,10000
70,370.8645,150.76831,1000.0,nan,nan,nan,0,10,1706,10000,756461,4,0.4444444444444444,0,9.804969787597656,944.5122807025909,0.00046563148498535156,0.02559518814086914,0.0008650598526000977,10000
71,241.49199,216.10551,1000.0,nan,nan,nan,0,10,1716,10000,766461,4,0.4444444444444444,0,11.10274076461792,955.637529373169,0.0004584789276123047,0.04113149642944336,0.0009020978689193726,10000
72,236.5064,236.02528,996.9166666666666,nan,nan,nan,0,12,1728,11963,778424,4,0.4,0,14.338716506958008,970.0192704200745,0.00046324729919433594,0.028566598892211914,0.000952662786273148,11963
73,261.146,270.87558,1000.0,nan,nan,nan,0,10,1738,10000,788424,4,0.4444444444444444,0,10.011772632598877,980.059573173523,0.0004570484161376953,0.025819063186645508,0.0009069749355316162,10000
74,303.98526,146.78452,1000.0,nan,nan,nan,0,10,1748,10000,798424,4,0.4444444444444444,0,10.904011487960815,990.9938168525696,0.0004596710205078125,0.025976181030273438,0.0008762993812561035,10000
75,330.65402,249.55157,1000.0,nan,nan,nan,0,10,1758,10000,808424,4,0.4444444444444444,1000.0,10.070040941238403,1001.102352142334,0.00044727325439453125,0.02538132667541504,0.0008662898063659669,10000
76,390.01346,146.4897,1000.0,nan,nan,nan,0,10,1768,10000,818424,4,0.4444444444444444,1000.0,11.01026177406311,1012.1253771781921,0.00045371055603027344,0.023577213287353516,0.000846962308883667,10000
77,475.16577,138.15318,1000.0,nan,nan,nan,0,10,1778,10000,828424,4,0.4444444444444444,0,9.842601776123047,1022.0014417171478,0.00045752525329589844,0.02304983139038086,0.0008630455732345581,10000
78,195.13458,175.5504,1000.0,nan,nan,nan,0,10,1788,10000,838424,4,0.4444444444444444,0,11.145101547241211,1033.1566696166992,0.0004634857177734375,0.02318716049194336,0.0008767769575119018,10000
79,280.5132,122.22989,1000.0,nan,nan,nan,0,10,1798,10000,848424,4,0.4444444444444444,0,10.063389301300049,1043.2403962612152,0.00046181678771972656,0.025089025497436523,0.0008695191860198974,10000
80,288.26932,211.11768,1000.0,nan,nan,nan,0,10,1808,10000,858424,4,0.4444444444444444,0,9.824891090393066,1053.1055314540863,0.0004603862762451172,0.02469921112060547,0.0008480822086334228,10000
81,342.8966,184.53242,936.1666666666666,nan,nan,nan,0,12,1820,11234,869658,4,0.4,0,11.974051475524902,1065.0981805324554,0.00042939186096191406,0.036527395248413086,0.0009028900554644079,11234
82,195.37354,231.15291,1000.0,nan,nan,nan,0,10,1830,10000,879658,4,0.4444444444444444,0,12.332918405532837,1077.460956811905,0.0004570484161376953,0.04818153381347656,0.0009645045518875122,10000
83,172.45474,282.898,1000.0,571.2175,0.0,1000.0,1,10,1840,10000,889658,4,0.4444444444444444,0,10.366307258605957,1087.8384628295898,0.00045990943908691406,0.025351285934448242,0.0008605911081487483,11000
84,282.85034,167.1739,985.8333333333334,nan,nan,nan,0,12,1852,11830,901488,4,0.4,0,10.967786073684692,1098.833251953125,0.0004661083221435547,0.023861408233642578,0.0008908461839187377,11830
85,283.0358,177.4798,1000.0,nan,nan,nan,0,10,1862,10000,911488,4,0.4444444444444444,0,10.951081275939941,1109.81214761734,0.0004622936248779297,0.023682117462158203,0.0008537903070449829,10000
86,322.49094,176.88223,1000.0,nan,nan,nan,0,10,1872,10000,921488,4,0.4444444444444444,1000.0,11.39102578163147,1121.2166047096252,0.0004584789276123047,0.028344392776489258,0.0008833829402923583,10000
87,202.16927,210.22902,1000.0,nan,nan,nan,0,10,1882,10000,931488,4,0.4444444444444444,0,10.09840989112854,1131.3257443904877,0.0004677772521972656,0.023182153701782227,0.0008708394050598145,10000
88,191.09612,148.29791,947.6666666666666,nan,nan,nan,0,12,1894,11372,942860,4,0.4,0,11.733972787857056,1143.0745730400085,0.0004162788391113281,0.02582240104675293,0.000856687978166868,11372
89,303.38004,269.97342,1000.0,nan,nan,nan,0,10,1904,10000,952860,4,0.4444444444444444,0,10.510526895523071,1153.6147165298462,0.00045371055603027344,0.023169994354248047,0.0008567751169204712,10000
90,288.24136,186.30396,1000.0,nan,nan,nan,0,10,1914,10000,962860,4,0.4444444444444444,0,10.024537324905396,1163.668375968933,0.0004470348358154297,0.025124073028564453,0.000869810938835144,10000
91,289.10623,145.06898,1000.0,nan,nan,nan,0,10,1924,10000,972860,4,0.4444444444444444,0,9.681381702423096,1173.3774981498718,0.0004508495330810547,0.02708601951599121,0.0008660061120986938,10000
92,340.24564,190.40051,1000.0,nan,nan,nan,0,10,1934,10000,982860,4,0.4444444444444444,0,11.85416555404663,1185.2537143230438,0.000461578369140625,0.023018836975097656,0.0008688397884368896,10000
93,345.08487,199.86208,1000.0,nan,nan,nan,0,10,1944,10000,992860,4,0.4444444444444444,1000.0,10.429365873336792,1195.696579694748,0.0004668235778808594,0.02466750144958496,0.0008925853967666626,10000
94,366.56348,206.82889,1000.0,nan,nan,nan,0,10,1954,10000,1002860,4,0.4444444444444444,0,10.248900413513184,1205.961840391159,0.0004627704620361328,0.02471137046813965,0.0008497994899749756,10000
95,244.37442,228.57802,1000.0,nan,nan,nan,0,10,1964,10000,1012860,4,0.4444444444444444,0,10.54884648323059,1216.5267536640167,0.0004477500915527344,0.027306556701660156,0.001044302487373352,10000
96,357.04858,226.84555,1000.0,nan,nan,nan,0,10,1974,10000,1022860,4,0.4444444444444444,0,12.818559646606445,1229.355962753296,0.00046062469482421875,0.032187461853027344,0.000888221287727356,10000
97,288.39197,134.64413,1000.0,nan,nan,nan,0,10,1984,10000,1032860,4,0.4444444444444444,0,9.54706621170044,1238.9132566452026,0.00045680999755859375,0.025459766387939453,0.0008589781999588013,10000
98,275.9778,230.81624,1000.0,nan,nan,nan,0,10,1994,10000,1042860,4,0.4444444444444444,0,10.224493980407715,1249.17258810997,0.0004527568817138672,0.030201435089111328,0.0008592889070510864,10000
99,418.7627,126.91138,1000.0,nan,nan,nan,0,10,2004,10000,1052860,4,0.4444444444444444,0,9.40708303451538,1258.5983319282532,0.00046896934509277344,0.02312469482421875,0.0008582427024841308,10000
100,290.77914,166.17296,1000.0,nan,nan,nan,0,10,2014,10000,1062860,4,0.4444444444444444,0,12.532550811767578,1271.1530380249023,0.00046896934509277344,0.025288105010986328,0.0008656493902206421,10000
101,326.1727,154.51932,1000.0,nan,nan,nan,0,10,2024,10000,1072860,4,0.4444444444444444,0,10.165299892425537,1281.3297929763794,0.0004673004150390625,0.02296161651611328,0.0008606076955795288,10000
102,316.50684,191.165,1000.0,nan,nan,nan,0,10,2034,10000,1082860,4,0.4444444444444444,0,9.976583480834961,1291.317438840866,0.00046634674072265625,0.023150205612182617,0.0008756715297698975,10000
103,295.4754,144.59229,1000.0,nan,nan,nan,0,10,2044,10000,1092860,4,0.4444444444444444,0,9.778806447982788,1301.1071610450745,0.00046515464782714844,0.024389982223510742,0.0008605249404907226,10000
104,290.17413,209.84595,1000.0,nan,nan,nan,0,10,2054,10000,1102860,4,0.4444444444444444,0,12.094064950942993,1313.2148625850677,0.00046181678771972656,0.023415088653564453,0.000901686978340149,10000
105,196.94106,134.12996,1000.0,nan,nan,nan,0,10,2064,10000,1112860,4,0.4444444444444444,0,10.88752555847168,1324.125789642334,0.00046896934509277344,0.026117324829101562,0.0008659530639648438,10000
106,275.5038,237.2126,922.5,nan,nan,nan,0,12,2076,11070,1123930,4,0.4,1000.0,9.909787893295288,1334.0505962371826,0.0004563331604003906,0.03211617469787598,0.0008426698996553361,11070
107,368.15463,201.20712,1000.0,nan,nan,nan,0,10,2086,10000,1133930,4,0.4444444444444444,1000.0,11.098572015762329,1345.17103099823,0.0004630088806152344,0.023252010345458984,0.0008652213096618653,10000
108,276.4548,214.51596,932.4166666666666,nan,nan,nan,0,12,2098,11189,1145119,4,0.4,0,10.211496591567993,1355.4020121097565,0.0004513263702392578,0.023615360260009766,0.0008823390897279856,11189
109,287.76987,197.68932,926.4166666666666,nan,nan,nan,0,12,2110,11117,1156236,4,0.4,0,11.644126415252686,1367.0575923919678,0.0004601478576660156,0.023026704788208008,0.0008598239535295439,11117
110,216.34583,227.65157,1000.0,nan,nan,nan,0,10,2120,10000,1166236,4,0.4444444444444444,1000.0,11.386817216873169,1378.4547865390778,0.0004601478576660156,0.03240180015563965,0.0008609643936157227,10000
111,356.24954,234.99571,1000.0,nan,nan,nan,0,10,2130,10000,1176236,4,0.4444444444444444,0,9.444725275039673,1387.9286427497864,0.00045990943908691406,0.023300886154174805,0.0008722198963165283,10000
112,182.48024,126.537506,894.0833333333334,nan,nan,nan,0,12,2142,10729,1186965,4,0.4,0,12.09092903137207,1400.046662569046,0.0004589557647705078,0.023505210876464844,0.0008686423046145126,10729
113,324.326,187.97417,1000.0,nan,nan,nan,0,10,2152,10000,1196965,4,0.4444444444444444,0,9.689835548400879,1409.7531425952911,0.00045680999755859375,0.02379465103149414,0.0008621011734008789,10000
114,337.4194,234.61478,968.0,nan,nan,nan,0,12,2164,11616,1208581,4,0.4,0,10.985631704330444,1420.7522387504578,0.00045943260192871094,0.03949785232543945,0.0008702495702370467,11616
115,261.774,226.44437,1000.0,nan,nan,nan,0,10,2174,10000,1218581,4,0.4444444444444444,0,11.377492427825928,1432.1571688652039,0.000457763671875,0.023881912231445312,0.0008544529914855957,10000
116,246.08662,233.7122,1000.0,nan,nan,nan,0,10,2184,10000,1228581,4,0.4444444444444444,0,10.218117475509644,1442.3896780014038,0.00046443939208984375,0.023224592208862305,0.0008555900335311889,10000
117,331.38535,163.80803,970.0833333333334,nan,nan,nan,0,12,2196,11641,1240222,4,0.4,0,11.511860847473145,1453.9304959774017,0.0004603862762451172,0.03602027893066406,0.0008688905109870517,11641
118,388.74335,182.61467,1000.0,nan,nan,nan,0,10,2206,10000,1250222,4,0.4444444444444444,0,10.81752872467041,1464.7680051326752,0.0004677772521972656,0.02567768096923828,0.0008578909158706665,10000
119,278.2818,185.15994,1000.0,nan,nan,nan,0,10,2216,10000,1260222,4,0.4444444444444444,0,9.593881845474243,1474.3738780021667,0.00045800209045410156,0.02390146255493164,0.0008691757678985595,10000
120,271.0639,160.45747,1000.0,nan,nan,nan,0,10,2226,10000,1270222,4,0.4444444444444444,0,10.804529666900635,1485.199524641037,0.0004475116729736328,0.024638652801513672,0.0008614971160888672,10000
121,323.49103,221.30266,1000.0,nan,nan,nan,0,10,2236,10000,1280222,4,0.4444444444444444,0,10.56537413597107,1495.7781841754913,0.00046753883361816406,0.02398371696472168,0.0008572540521621704,10000
122,368.43726,174.8084,930.4166666666666,nan,nan,nan,0,12,2248,11165,1291387,4,0.4,0,10.767960548400879,1506.5703842639923,0.00045561790466308594,1.0288653373718262,0.0009778866253249377,11165
123,313.90488,182.81812,1000.0,nan,nan,nan,0,10,2258,10000,1301387,4,0.4444444444444444,0,12.592171430587769,1519.1825852394104,0.000457763671875,0.023035764694213867,0.0008885196208953857,10000
124,297.39832,221.35526,1000.0,nan,nan,nan,0,10,2268,10000,1311387,4,0.4444444444444444,0,10.345082759857178,1529.538987159729,0.0004553794860839844,0.02575063705444336,0.0008671272277832031,10000
125,399.41605,113.49744,1000.0,nan,nan,nan,0,10,2278,10000,1321387,4,0.375,0,9.468120574951172,1539.031272649765,0.00046181678771972656,0.02975606918334961,0.000873772120475769,10000
126,325.231,209.54248,1000.0,nan,nan,nan,0,10,2288,10000,1331387,4,0.4444444444444444,0,11.983612537384033,1551.0434691905975,0.0004608631134033203,0.061009883880615234,0.0010364332914352416,10000
127,189.4067,189.43628,1000.0,nan,nan,nan,0,10,2298,10000,1341387,4,0.4444444444444444,0,10.53580904006958,1561.6108117103577,0.0004527568817138672,0.03288149833679199,0.000871443510055542,10000
128,401.5793,214.45702,961.5833333333334,nan,nan,nan,0,12,2310,11539,1352926,4,0.4,1000.0,12.229225873947144,1573.849720954895,0.00046634674072265625,0.02570033073425293,0.0008524671069091564,11539
129,291.0511,271.1846,1000.0,nan,nan,nan,0,10,2320,10000,1362926,4,0.4444444444444444,0,9.831980466842651,1583.7094585895538,0.00046443939208984375,0.025768518447875977,0.0008635934352874756,10000
130,255.77283,179.80417,1000.0,nan,nan,nan,0,10,2330,10000,1372926,4,0.4444444444444444,1000.0,11.076639652252197,1594.8123919963837,0.0004591941833496094,0.02390885353088379,0.0008826609611511231,10000
131,303.94766,142.38513,1000.0,nan,nan,nan,0,10,2340,10000,1382926,4,0.4444444444444444,0,9.7961905002594,1604.6270360946655,0.0004496574401855469,0.02545475959777832,0.0008650233030319214,10000
132,299.10065,99.94308,1000.0,nan,nan,nan,0,10,2350,10000,1392926,4,0.4444444444444444,0,11.50963306427002,1616.1650137901306,0.0004603862762451172,0.023560285568237305,0.000868152904510498,10000
133,334.98242,166.39069,945.25,nan,nan,nan,0,12,2362,11343,1404269,4,0.4,0,11.525641202926636,1627.7140018939972,0.0004630088806152344,0.02470254898071289,0.0008477334842515415,11343
134,266.03812,194.71042,1000.0,nan,nan,nan,0,10,2372,10000,1414269,4,0.4444444444444444,0,9.709610223770142,1637.449405670166,0.0004591941833496094,0.02729630470275879,0.0008603187322616577,10000
