,Generation,Eval_per_Gen,Eval_Rew_Mean,Eval_Rew_Std,Eval_Len_Mean,Rew_0,Len_0,Rew_1,Len_1,Rew_2,Len_2,Rew_3,Len_3,Rew_4,Len_4
0,0,5,1.9964393854141236,0.0028680313386064598,20.0,1.9926860332489014,20.0,2.0001742839813232,20.0,1.9992882013320923,20.0,1.9957205057144165,20.0,1.9943279027938843,20.0
1,1,5,2.004350686073303,0.005922457455319086,20.0,1.998857855796814,20.0,2.014423370361328,20.0,1.9990804195404053,20.0,2.0018911361694336,20.0,2.007500648498535,20.0
2,2,5,1.9894517421722413,0.006042149602360921,20.0,1.9838098287582397,20.0,1.9905859231948853,20.0,2.0002732276916504,20.0,1.9887832403182983,20.0,1.9838064908981323,20.0
3,3,5,1.9981971740722657,0.009457213078607533,20.0,1.9881620407104492,20.0,1.9922770261764526,20.0,1.9912720918655396,20.0,2.0105674266815186,20.0,2.008707284927368,20.0
4,4,5,2.0193536043167115,0.011541704446219575,20.0,2.029327869415283,20.0,2.0207018852233887,20.0,2.017045021057129,20.0,2.0309524536132812,20.0,1.998740792274475,20.0
5,5,5,1.9725582122802734,0.016177791188611537,20.0,1.9552578926086426,20.0,2.001410484313965,20.0,1.959620714187622,20.0,1.9753139019012451,20.0,1.9711880683898926,20.0
6,6,5,1.9877981424331665,0.015842679589540172,20.0,1.980998158454895,20.0,1.9817371368408203,20.0,1.9734866619110107,20.0,2.0186758041381836,20.0,1.9840929508209229,20.0
7,7,5,1.9883217573165894,0.014363743793511151,20.0,1.9916938543319702,20.0,2.013519763946533,20.0,1.973586916923523,20.0,1.9874229431152344,20.0,1.975385308265686,20.0
8,8,5,2.0016907691955566,0.01871132345022467,20.0,2.0307509899139404,20.0,1.983661413192749,20.0,1.999671459197998,20.0,2.0135607719421387,20.0,1.980809211730957,20.0
9,9,5,1.9921712636947633,0.025267214358010333,20.0,2.0114760398864746,20.0,1.9797923564910889,20.0,2.030181407928467,20.0,1.9594111442565918,20.0,1.9799953699111938,20.0
10,10,5,1.9811100959777832,0.024537786839853266,20.0,1.9716376066207886,20.0,1.9400912523269653,20.0,1.9915269613265991,20.0,2.0139291286468506,20.0,1.9883655309677124,20.0
